,Data Jumlah Usaha yang Menggunakan E-Commerce di Indonesia ,,
,Tahun 2020,,
,,,
,"Provinsi
",Jumlah E Commerce,%
,Aceh,"  18,393 ",0.01
,Sumatera Utara,"  73,092 ",0.03
,Sumatera Barat,"  26,082 ",0.01
,Riau,"  25,577 ",0.01
,Jambi,"  20,215 ",0.01
,Sumatera Selatan,"  28,746 ",0.01
,Bengkulu,"  20,988 ",0.01
,Lampung,"  47,559 ",0.02
,Kep. Bangka Belimng,"  9,536 ",0.00
,Kepulauan  Riau,"  20,533 ",0.01
,DKI Jakarta,"  218,582 ",0.09
,Jawa Barat,"  473,283 ",0.20
,Jawa Tengah,"  406,911 ",0.17
,D.I. Yogyakarta,"  147,781 ",0.06
,Jawa Timur,"  467,996 ",0.20
,Banten,"  60,036 ",0.03
,Bali,"  67,589 ",0.03
,Nusa Tenggara Barat,"  25,281 ",0.01
,Nusa Tenggara Timur,"  10,297 ",0.00
,Kalimantan Barat,"  17,939 ",0.01
,Kalimantan Tengah,"  12,403 ",0.01
,Kalimantan Selatan,"  24,972 ",0.01
,Kalimantan Timur,"  38,483 ",0.02
,Kalimantan Utara,"  5,535 ",0.00
,Sulawesi Utara,"  12,133 ",0.01
,Sulawesi Tengah,"  10,226 ",0.00
,Sulawesi Selatan,"  42,367 ",0.02
,Sulawesi Tenggara,"  10,021 ",0.00
,Gorontalo,"  4,777 ",0.00
,Sulawesi Barat,"  4,047 ",0.00
,Maluku,"  3,518 ",0.00
,Maluku Utara,"  1,817 ",0.00
,Papua Barat,"  1,685 ",0.00
,Papua,"  3,023 ",0.00
,Indonesia,"  2,361,423 ",100.00
,,,
,,,
,Source:,https://www.bps.go.id/publication/download.html?nrbvfeve=NjY3ODIxZTY3NDIxYWZkMmM4MWM1NzRi&xzmn=aHR0cHM6Ly93d3cuYnBzLmdvLmlkL3B1YmxpY2F0aW9uLzIwMjEvMTIvMTcvNjY3ODIxZTY3NDIxYWZkMmM4MWM1NzRiL3N0YXRpc3Rpay1lLWNvbW1lcmNlLTIwMjEuaHRtbA%3D%3D&twoadfnoarfeauf=MjAyMi0xMS0xNSAxMzoyOToyMA%3D%3D,
